id	gid	type	name
99	47	corp	A. Vogeler & Co.
100	47	corp	A. Vogeler Company
101	48	corp	A.A. Jones & Shipman, Ltd.
102	48	corp	A.A. Jones & Shipman
103	49	corp	A.A. Low & Bros.
104	49	corp	A.A. Low and Brother
105	50	corp	A.B. Leach & Co.
106	50	corp	A.B. Leach and Company
107	51	corp	A.B. Manufacturing Co.
108	51	corp	A.B. Manufacturing Company
109	52	corp	A.B.S. (Firm)
110	52	corp	A.B.S. (Manufacturing Co.)
111	53	corp	A.C. McClurg & Co.
112	53	corp	A.C. McClurg & Company
113	54	corp	A.D. Peters & Co., Literary Agents
114	54	corp	A.D. Peters (Firm)
115	54	corp	A.D. Peters, Ltd.
116	55	corp	A.F. Fletcher & Company (Alpena, Mich.)
117	55	corp	A.F. Fletcher and company (Alpena, Mich.)
118	56	corp	A.F. Harvey (Freighter : 1903)
119	56	corp	A.F. Harvey (Ship)
120	57	corp	A.G. Edwards & Sons
121	57	corp	A.G. Edwards (Firm)
122	58	corp	A.G. Spalding & Bros.
123	58	corp	A.G. Spalding and Bros.
124	59	corp	A.H. Abbott & Co.
125	59	corp	A.H. Abbott and Company (Chicago, Ill.)
126	60	corp	A.H. Bickmore & Co.
127	60	corp	A.H. Bickmore & Company
128	61	corp	A.H. Ferbert (Freighter : 1903)
129	61	corp	A.H. Ferbert (Ship)
130	62	corp	A.H. Nilson Machine Co.
131	62	corp	A.H. Nilson Machine Company
132	63	corp	A.I. Root (Firm)
133	63	corp	A.I. Root Company of California
134	63	corp	A.I. Root Company
135	64	corp	A.I.R. Gallery (New York, N.Y.)
136	64	corp	A.I.R. Gallery (New York, N.Y.)
137	65	corp	A.J. Lindemann & Hoverson & Co.
138	65	corp	A.J. Lindemann & Hoverson Co.
139	66	corp	A.L.Hernstein & Co.
140	66	corp	A.L. Hernstein (Firm)
141	67	corp	A.L. Scovill & Co.
142	67	corp	A.L. Scoville & Co.
143	68	corp	A.M. Byers Company (Pittsburgh, Pa.)
144	68	corp	A.M. Byers Company
145	69	corp	A.M. Collins Manufacturing Co.
146	69	corp	A.M. Collins Manufacturing Company
147	70	corp	A.M. Donaldson & Company (Denver, Colo.)
148	70	corp	A.M. Donaldson and Company (Denver, Colo.)
149	71	corp	A.M. Holter and Brother (Helena, Mont.)
150	71	corp	A.M. Holter Hardware Co.
151	71	corp	A.M. Holter Hardware Company (Helena, Mont.)
152	72	corp	A.M. Strauss & Associates
153	72	corp	A.M. Strauss, Inc.
154	73	corp	A.N. Marquis & Company
155	73	corp	A.N. Marquis Company
156	74	corp	A.O. Smith Corp.
157	74	corp	A.O. Smith Corporation (Milwaukee, Wis.)
158	74	corp	A.O. Smith Corporation
159	75	corp	A.P. Watt (Firm)
160	75	corp	A.P. Watt and Son
161	75	corp	A.P. Watt Ltd.
162	76	corp	A.R. Seger Trucking Company
163	76	corp	A.R. Seger Trucking Company
164	77	corp	A.R. Williams Machinery Co.
165	77	corp	A.R. Williams Machinery Company
166	78	corp	A.S. Aloe Co.
167	78	corp	A.S. Aloe Company
168	79	corp	A.S. Barnes & Co.
169	79	corp	A.S. Barnes & Company
170	80	corp	A.T. Lawson (Ship)
171	80	corp	A.T. Lawson (Steamboat : 1909)
172	81	corp	A.T. Lewis & Son Dry Goods Co.
173	81	corp	A.T. Lewis and Son's Dry Goods Store (Denver, Colo.)
174	82	corp	A.T. Stearns Lumber Co.
175	82	corp	A.T. Stearns Lumber Company
176	83	corp	A.T. Stewart & Co.
177	83	corp	A.T. Stewart & Co. (New York, N.Y.)
178	84	corp	A.Y. McDonald & Morrison Manufacturing Co.
179	84	corp	A.Y. McDonald Co.
180	84	corp	A.Y. McDonald Mfg. Co.
181	85	pers	Aachen, Hans von
182	85	pers	Aachen, Hans von, 1552-1615
183	86	pers	Aakhus, Michael K.
184	86	pers	Aakhus, Michael
185	87	pers	Aalto, Elissa, 1923-1994
186	87	pers	Aalto, Elissa [active 1961- active 1966]
187	88	pers	Aaltonen, Waino Waldemar
188	88	pers	Aaltonen, Wäinö Waldemar, 1894-1966
189	89	pers	Aandahl, Fred George, 1897-1966
190	89	pers	Aandahl, Fred, 1897-1966
191	90	corp	Aaron Haas Son and Howell Co. (Altanta, Ga.)
192	90	corp	Aaron Haas Son and Howell Company (Atlanta, Ga.)
193	91	pers	Aaron, Benjamin L.
194	91	pers	Aaron, Benjamin
195	92	pers	Aaron, Charles D.
196	92	pers	Aaron, Charles
197	93	pers	Aaron, Jesse
198	93	pers	Aaron, Jesse J.
199	94	pers	Aaron, John, 1942-
200	94	pers	Aaron, John
201	95	pers	Aaron, Louis I. (Louis Israel), 1840-1919
202	95	pers	Aaron, Louis Israel, 1840-1920
203	96	pers	Aaron, Pietro, 1480-1545
204	96	pers	Aaron, Pietro [active 1490 – active 1545]
205	97	pers	Aarons, Charles L. (Charles Lehman), 1872-1952
206	97	pers	Aarons, Charles, 1872-1952
207	98	pers	Aarons, George Manuel, 1896-1980
208	98	pers	Aarons, George, 1896-
209	99	pers	Aasgaard, J.A., 1876-1966
210	99	pers	Aasgaard, Johan Arndt
211	100	pers	Abad de Santillan, Diego, 1897-
212	100	pers	Abad de Santillán, Diego
213	101	pers	Abad, Antoni, 1956-
214	101	pers	Abad, Antoni
215	102	pers	Abad, Francesc
216	102	pers	Abad, Francesco
217	103	pers	Abajian, Elizabeth Engelhardt, 1891-
218	103	pers	Abajian, Elizabeth
219	104	pers	Abakanowicz, Magdalena, 1930-
220	104	pers	Abakanowicz, Magdalena
221	105	pers	Aballi, Ignasi, 1958-
222	105	pers	Aballi, Ignasi
223	106	corp	Abar TV Cable Company of Eugene (Or.)
224	106	corp	Abar TV Cable Company
225	107	pers	Abarca, Antonio de.
226	107	pers	Abarca, Antonio
227	108	pers	Abarca, Joaquin, 1780-1944
228	108	pers	Abarca, Joaquin, Bishop of Léon
229	109	pers	Abarca, Paulina B.
230	109	pers	Abarca, Paulina
231	110	pers	Abascal y Sousa, José Fernando de, 1743-1821
232	110	pers	Abascal y Sousa, José Fernando, Marquis de la Concordia, 1843-1821
233	110	pers	Abascal y Sousa, José Fernando de
234	111	pers	Abba, Marta, 1907-
235	111	pers	Abba, Marta
236	112	pers	Abbado, Claudio, 1933-
237	112	pers	Abbado, Claudio
238	113	pers	Abbasi, Feroz Ali
239	113	pers	Abbasi, Feroz Ali, 1979-
240	114	pers	Abbate, P.S.
241	114	pers	Abbate, Paolo S., 1884-1973
242	115	pers	Abbe, Don
243	115	pers	Abbe, Donald R. (1949-)
244	116	pers	Abbe, Dorothy, 1909-1999
245	116	pers	Abbe, Dorothy
246	117	pers	Abbe, Ernst C. (Ernst Cleveland), 1905-2000
247	117	pers	Abbe Ernst Cleveland
248	118	pers	Abbe, Robert Waldo, 1851-1928
249	118	pers	Abbe, Robert, 1851-1928
250	119	pers	Abbé, William P.
251	119	pers	Abbe, William P., 1916-
252	119	pers	Abbe, William P., d. 1983
253	120	pers	Abbey, Henry E. (Henry Eugene), 1846-1896
254	120	pers	Abbey, Henry Eugene, 1846-1896
255	121	corp	Abbo-Craft Co.
256	121	corp	Abbo-Craft Company
257	122	corp	Abbot Academy (Andover, Mass.)
258	122	corp	Abbot Academy
259	123	pers	Abbot, C.G. (Charles Greeley), 1872-1973
260	123	pers	Abbot, C.G., 1872-1973
261	124	pers	Abbot, Edith Doane (Brown), 1887-1978
262	124	pers	Abbot, Edith
263	125	pers	Abbot, George Jacob, 1812-1879
264	125	pers	Abbot, Goerge Jacob, fl. 1860-1870
265	126	pers	Abbot, Henry, lord of Washfield, fl. 1290-1294
266	126	pers	Abbot, Henry, lord of Washfield, fl. 1290-1304
267	126	pers	Abbot, Henry, lord of Washfield, fl. 1290-1304
268	127	pers	Abbot, Jos. Hale (Joseph Hale), 1802-1873
269	127	pers	Abbot, Joseph Hale, 1802-1873
270	128	pers	Abbot, Scaisbrooke, L., 1908-
271	128	pers	Abbot, Scaisbrooke, Langhorne, 1908-1985
272	129	corp	Abbot-Downing Company (Concord, N.H.)
273	129	corp	Abbot-Downing Truck & Body Company (Concord, N.H.)
274	130	corp	Abbot Alkaloidal Co.
275	130	corp	Abbot Alkaloidal Company
276	131	corp	Abbott Laboratories (Firm)
277	131	corp	Abbott Laboratories
278	132	pers	Abbott, Ade
279	132	pers	Abbott, Adelbert C.
280	133	pers	Abbott, C.R.
281	133	pers	Abbott, C.R., fl 1835 
282	134	pers	Abbott, Ebenezer Tilden, 1808-1888
283	134	pers	Abbott, Ebenezer, 1808-1888
284	135	pers	Abbott, Edward Gardner, 1840-1862
285	135	pers	Abbott, Edward Gardner, ca. 1841-1862
286	136	pers	Abbott, Fletcher Morton, 1843-
287	136	pers	Abbott, Fletcher Morton, b. 1843
288	137	pers	Abbott, George, fl. 1903
289	137	pers	Abbott, George, fl. 1903, Correspondent
290	138	pers	Abbott, Ira H. [corporate body]
291	138	pers	Abbott, Ira H. [person]
292	139	pers	Abbott, J.P. (Joseph Palmer)
293	139	pers	Abbott, J.P. (Joseph Palmer), 1842-1901
294	140	pers	Abbott, James B.
295	140	pers	Abbott, James B., fl. 1854-1855
296	141	pers	Abbott, John S.C. (John Stevens Cabot), 1805-1877
297	141	pers	Abbott, John S.C. q(John Stevens Cabot), 1805-1877
298	143	pers	Abbott, John Stephen Cabaot, 1805-1877
299	143	pers	Abbott, John Stevens Cabet, 1805-1877
300	144	pers	Abbott, Joseph C., 1825-1881
301	144	pers	Abbott, Joseph Carter, 1825-1881
302	144	pers	Abbott, Joseph Carter, 1825-1882 
303	145	pers	Abbott, Lawrence F. (Lawrence Fraser), 1859-1933
304	145	pers	Abbott, Lawrence Fraser, 1859-
305	146	pers	Abbott, Mary Ogden, 1894-1981
306	146	pers	Abbott, Mary Ogden, 1895-1981
307	147	pers	Abbott, Mary Stuart (1967); Mueller, Oscar O., (1877-1964)
308	147	pers	Abbott, Mary Stuart, d. 1967
309	148	pers	Abbott, Myron, 1837-
310	148	pers	Abbott, Myron, 1837-1907
311	149	pers	Abbott, Patt (Patricia A.), 1941-
312	149	pers	Abbott, Patt, 1941-
313	150	pers	Abbott, Robert, 1770-1853
314	150	pers	Abbott, Robert, 1773-1853
315	151	pers	Abbott, Samuel [active 1806-active 1818]
316	151	pers	Abbott, Samuel [active 1800-active 1818]
317	152	corp	ABC No Rio (New York, N.Y.)
318	152	corp	ABC No Rio
319	153	pers	Abd al-Qadir al-Jilani, d. 1166
320	153	pers	Abd al-Qadir al-Jilani, d. 1166
321	154	pers	Abdulhamid II, Sultan of the Turks, 1842-1918
322	154	pers	Abdulhamid, Sultan of Turkey, d1842-1918
323	155	pers	ABEELE, REMY VAN DEN, 1918-
324	155	pers	Abeele, Remy van den
325	156	corp	Abel Porter & Company
326	156	corp	Abel Porter and Company
327	157	pers	Abel Smith, Henry Sir, 100-1993
328	157	pers	Abel Smith, Henry, Sir, 1900-193
329	158	pers	Abel, I.W. (Iorwith Wilbur), 1908-1987
330	158	pers	Abel, I.W., 1908-1987
331	158	pers	Abel, I.W. (Ionwith Wilbur), 1908-1987
332	159	pers	Abele, Julian Francis, 1881-1950
333	159	pers	Abele, Julian, 1881-1950
334	160	pers	Abell, Frank G., 1844-1910
335	160	pers	Abell, Frank G., 1844-1910 [corporate body]
336	160	pers	Abell, Frank G., d. 1910
337	161	pers	Abella, Ramón, 1764-1842
338	161	pers	Abella, Ramón, d. 1842
339	162	pers	Abelson, Alter, 1881-
340	162	pers	Abelson, Alter, b. 1881
341	163	pers	Abend, George, 1922-
342	163	pers	Abend, George 1922-1976
343	164	pers	Aberconway, Christabel Mary Macnaghten McLaren, Baroness, 1890-
344	164	pers	Aberconway, Christabel Mary Melville Macnachten McLaren, Baroness [active 1901 – active 1974]
345	165	pers	Abercorn, Anne Jane (Gore) Hamilton, Marchioness of, d. 1827
346	165	pers	Abercorn, Anne Jane Hamilton, Marchioness of, 1763-1827
347	166	pers	Abercorn, John James Hamilton, Marquess of, 1756-1818
348	166	pers	Abercorn, John James Hamilton, Marquess of, 1756-1818
349	167	pers	Abercrombie, John J. (John Joseph), 1798-1877
350	167	pers	Abercrombie, John J., 1798-1877
351	168	pers	Abercrombie, John W. (John William), 1866-1940
352	168	pers	Abercrombie, John William, 1866-
353	169	pers	Abercrombie, W.R. (William Ralph), b. 1857
354	169	pers	Abercrombie, W.R., b. 1857
355	170	pers	Abercromby, David, d. 1701 or 2
356	170	pers	Abercromby, David, d. 1701-2?
357	171	pers	Abercromby, Robert, 1740-1827
358	171	pers	Abercromby, Robert, Sir, 1740-1827
359	172	pers	Aberdeen and Temair, Ishbel Gordon, Marchioness of, 1857-1939
360	172	pers	Aberdeen and Temair,Ishbel Gordon, Marchioness of, 1857-1939
361	173	pers	Abernethy, J.W. (Julian Willis), 1853-1923
362	173	pers	Abernethy, J.W., b. 1853
363	174	pers	Abernethy, M.A. [active 1886 – active 1903]
364	174	pers	Abernethy, M.A. [active 1886 – active 1903]
365	175	pers	Abeyta, Narciso, Platera, 1918-
366	175	pers	Abeyta, Narciso, d. 1998-
367	176	pers	Abington, Mrs., 1737-1815
368	176	pers	Abington, Mrs., (Frances Barton), 1737-1815
369	177	corp	Abner Read (Destroyer)
370	177	corp	Abner Reed (Destroyer)
371	178	pers	Abner, B.L. (Benjamin L.), b.1858
372	178	pers	Abner, B.L. (Benjamin L.), b. 1858-1921
373	179	pers	Abney, Thomas, d. 1750
374	179	pers	Abney, Thomas, Sir, d. 1750
375	180	corp	Abraham Bell & Son (N.Y.)
376	180	corp	Abraham Bell & Son (New York, N.Y.)
377	180	corp	Abraham Bell & Son
378	180	corp	Abraham Bell and Son
379	181	corp	Abraham Lincoln Center (Chicago, Ill.)
380	181	corp	Abraham Lincoln Center (Chicago, Ill.)
381	182	pers	Abraham, George D. (George Dixon), 1872-1965
382	182	pers	Abraham, George Dixon, 1872-1965
383	183	pers	Abraham, Mordecai
384	183	pers	Abraham, Mordecai, 1796-1871
385	183	pers	Abraham, Mordecai, b. 1796
386	184	pers	Abrams, Herbert E. [active from 1921]
387	184	pers	Abrams, Herbert E., 1921-
388	185	pers	Abrego, José Antonio Maria, 1813-1878
389	185	pers	Abrego, José, 1813-1878
390	185	pers	Abrego, José, d. 1878
391	186	pers	Abrial, AndrvJoseph, ,Comte, 1750-1828
392	186	pers	Abrial, Andre Joseph, 1750-1828
393	187	corp	Abstract and Title Insurance Co. (Los Angeles, Calif.)
394	187	corp	Abstract and Title Insurance Co. of Los Angeles
395	187	corp	Abstract and Title Insurance Company of Los Angeles
396	188	pers	Abts, La Vonne, Sister
397	188	pers	Abts, La Vonne, Sister, F.S.P.A.
398	188	pers	Abts, M. LaVonne, Sister, F.S.P.A.
399	189	pers	Abu Hanifah, d. 767 or 8
400	189	pers	Abu Hanifah [active to 767]
401	190	corp	Abyssinia (Ship)
402	190	corp	Abyssinia (Steam ship)
403	190	corp	Abyssinia (Steamship)
404	191	corp	Academy of Stomatology (Philadelphia, Pa.)
405	191	corp	Academy of Stomatology of Philadelphia (Pa.)
406	192	corp	Account Book.   [all corporate bodies]
407	192	corp	Account Books.
408	192	corp	Account Journal
409	192	corp	Accounts
410	193	pers	Accum, Friedrich Christian, 1769-1838
411	193	pers	Accum, Friedrick Christian, 1769-1838
412	194	pers	Achebe, Chinau
413	194	pers	Achebe, Chinua
414	195	pers	Acheson, Alexander W., 1824-1934
415	195	pers	Acheson, Alexander Wilson, 1842-1934
416	196	pers	Acheson, Dean (1893-1971) [corporate body]
417	196	pers	Acheson, Dean G., 1893-1971
418	197	pers	Acker, William H.
419	197	pers	Acker, William H. (William Acker), 1833-1862
420	197	pers	Acker, William H. (William Henry), 1833-1862
421	197	pers	Acker, William H., 1833-1862
422	198	pers	Ackerman, Gertrude W. (Gertrude Wilhelmine)
423	198	pers	Ackerman, Gertrude Wilhelmina
424	198	pers	Ackerman, Gertrude Wilhelmine
425	199	pers	Ackland, William Hayes, 1855-1940
426	199	pers	Ackland, William Hayes, 1885-1940
427	200	pers	Acland, Christian Henrietta Caroline, Lady, 1750-1815
428	200	pers	Acland, Christian Harriet Caroline Fox, Lady, 1750-1815
429	201	pers	Acland, Henry W. (Henry Wentworth), 1815-1900
430	201	pers	Acland, Henry Wentworth Dyke, Sir, 1815-1900
431	202	pers	Acland, John Dyke, d. 1778
432	202	pers	Acland, John Dyke, d.1778
433	202	pers	Acland, John Dykes, d. 1778
434	203	corp	Acme Cement Plaster Co.
435	203	corp	Acme Cement Plaster Company
436	204	corp	Acme Commercial Studio (Portland, Or.) [person]
437	204	corp	Acme Commercial Studio (Portland, Or.)
438	205	corp	Acme White Lead & Color Works.
439	205	corp	Acme White Lead and Color Works
440	206	corp	Acme-Danneman Company, Inc.
441	206	corp	Acme-Danneman Company
442	207	corp	Acosta Saignes, Miguel
443	207	pers	Acosta, Saignes, Miguel
444	208	pers	Acosta, Jose
445	208	pers	Acosta, José de, ca. 1539-1600
446	209	corp	Acoustiguide (Firm)
447	209	corp	Acoustiguide (Firm) [person]
448	210	pers	Acree, Walter U. (Walter Upson),b. 1860
449	210	pers	Acree, Walter U. (Walter Upson), b.1860 
450	211	pers	Acrill, William, d. 1738
451	211	pers	Acrill, William, d.1738 
452	212	pers	Acunã, Rodolfo F., 1932-
453	212	pers	Acunã, Rudolfo F., 1932-
454	213	corp	Ad Hoc Committee on the Human Rights and Genocide Treaties [person]
455	213	corp	Ad Hoc Committee on the Human Rights and Genocide Treaties
456	214	corp	Adair Realty Company (Atlanta, Ga.)
457	214	corp	Adair Realty and Loan Co. (Atlanta, Ga.)
458	214	corp	Adair Realty and Loan Company (Atlanta, Ga.)
459	215	pers	Adair, Cornelia W. (Cornelia Wadsworth), 1839-1921
460	215	pers	Adair, Cornelia [Wadsworth], d. 1922
461	216	pers	Adair, Douglass
462	216	pers	Adair, Douglass
463	216	pers	Adair, Douglass
464	217	pers	Adair, John L. (John Lynch), 1828-1896
465	217	pers	Adair, John L., 1828-1896
466	218	pers	Adam Smith, Patsy, 1926-
467	218	pers	Adam Smith, Patsy, 1926-2001
468	219	pers	Adam, Marie – Christine, 19..-….actrice. [from 0019] [28 records]
469	220	pers	Adam, R.B. (Robert Borthwick), 1863-1940
470	220	pers	Adam, R.B., 1863-1940
471	221	pers	Adam, Robert B. (Robert Borthwick), 1833-1904
472	221	pers	Adam, Robert B., 1833-1904
473	222	corp	Adams & Westlake Co.
474	222	corp	Adams & Westlake Company
475	222	corp	Adams and Westlake Co.
476	222	corp	Adams & Westlake Mfg. Co. [active 1857 – active 1947]
477	222	corp	Adams and Westlake Manufacturing Company (Chicago, Ill..) [active 1875 – active 1881]
478	223	corp	Adams County (Wis.). Clerk [person]
479	223	corp	Adams County (Wis.). Clerk
480	224	corp	Adams County (Wis.). Treasurer [person]
481	224	corp	Adams county (Wis.). Treasurer
482	225	fami	Adams family. [133 records]
483	225	fami	Adams Family [6 records]
484	226	corp	Adams Nickel Plating & Manufacturing Co.
485	226	corp	Adams Nickel Plating and Manufacturing Company
486	227	pers	Adams, A.O., fl. 1842-1876
487	227	pers	Adams, A.O., fl. 1842
488	228	pers	Adams, Abijah [active 1887 – active 1890]
489	228	pers	Adams, Abijah [active 1887 – active 1897]
490	229	pers	Adams, Adam Gillespie, 1887-
491	229	pers	Adams, Adam Gillespie, 1887-1976
492	230	pers	Adams, Alfred [active 1862 – active 1864]
493	230	pers	Adams, Alfred [active 1862 – active 1864]
494	231	pers	Adams, Amelia Wyllys, 1796-1859
495	231	pers	Adams, Amelia Wyllys, b. 1786
496	232	pers	Adams, Arthur S. (Arthur Santon), 1896-1980
497	232	pers	Adams, Arthur S. (Arthur Stanton), 1896-1980 
498	233	pers	Adams, B.M. (Barzillai M.), 1817-1901
499	233	pers	Adams, B.M., 1817-
500	234	pers	Adams, Bobby Neal
501	234	pers	Adams, Bobby Neel, 1953-
502	234	pers	Adams, Bobby Neel
503	235	pers	Adams, Charles C. (Charles Christopher), 1873-1955
504	235	pers	Adams, Charles C., 1873-1955
505	236	pers	Adams, Charles F. [active 1963- active 1972]
506	236	pers	Adams, Charles F. [active 1946 – active 1978]
507	237	pers	Adams, Charles K.
508	237	pers	Adams, Charles Kendall, 1835-1902
509	238	pers	Adams, Charles Partridge, 1858-1942
510	238	pers	Adams, Charles Partridge, d. 1942
511	239	pers	Adams, Charles S. 
512	239	pers	Adams, Charles S. (Charles Shaw), 1797-1873
513	239	pers	Adams, Charles S., fl. 1868
514	240	pers	Adams, Charles Wilson, 1828-1917
515	240	pers	Adams Charles Wilson
516	241	pers	Adams, Charles [active 1863 – active 1890]
517	241	pers	Adams, Charles
518	241	pers	Adams, Charles [active 1856 – active 1871]
519	242	pers	Adams, Cicero
520	242	pers	Adams, Cicero, d. 1868
521	243	pers	Adams, Clarence Raymond, 1898-1965
522	243	pers	Adams, Clarence Raymond
523	244	pers	Adams, Comfort Avery, 1816-1901
524	244	pers	Adams, Comfort Avery, b. 1818
525	245	pers	Adams, Corinne Lanier, 1915-1967
526	245	pers	Adams, Corinne Lanier, 915-1967
527	246	pers	Adams, Daniel, 1773-1863
528	246	pers	Adams, Daniel, 1773-1864
529	247	pers	Adams, David Barclay, 1814-1881
530	247	pers	Adams, David Barclay, d. 1814-1881
531	247	pers	Adams, David Barclay, d. 1881
532	248	pers	Adams, Edward Francis, 1839-1929
533	248	pers	Adams, Edward Francis, 1839-1939
534	249	pers	Adams, Edward Thomas, 1860-
535	249	pers	Adams, Edward Thomas, b. 1860
536	250	pers	Adams, Edwin P. (Edward Plimpton),  . 1878.
537	250	pers	Adams, Edwin P. (Edward Plimpton), b. 1878
538	251	pers	Adams, Elmer B. (Elmer Bragg), 1842-1916
539	251	pers	Adams, Elmer B., 1842-1916
540	252	pers	Adams, Elmer E. (Elmer Ellsworth), 1861-1950
541	252	pers	Adams, Elmer E., 1861-1950
542	252	pers	Adams, Elmer Ellsworth, 1861-
543	253	pers	Adams, Evangeline Smith, 1872? – 1832
544	253	pers	Adams, Evangeline Smith, 1872? – 1955
545	254	pers	Adams, F.A. [active 1811- active 1851]
546	254	pers	Adams, F.A. (Frederick A.), 1807-1888
547	255	pers	Adams, Francis Crowinshield
548	255	pers	Adams, Francis Croninshield, 1839-1911
549	256	pers	Adams, George C., 1863-1900
550	256	pers	Adams, George Caspar, 1863-1900
551	257	pers	Adams, George E. (George Everett), 1840-1917
552	257	pers	Adams, George E., 1840-1917
553	257	pers	Adams, George E., 1848-1917
554	258	pers	Adams, George S., 1832-
555	258	pers	Adams, George S., 1832-1904
556	259	pers	Adams, Gilmer Speed, 1854-
557	259	pers	Adams, Gilmer Speed, 1854- ca. 1922
558	259	pers	Adams, Gilmer Speed, b. 1854
559	259	pers	Adams, Gilmer Speed 
560	260	pers	Adams, Glen Cameron [active 1978 – active 1990]
561	260	pers	Adams, Glen Cameron [active 1894 – active 1986]
562	261	pers	Adams, Harriet Stratemeyer, 1892-1982
563	261	pers	Adams, Harriet Stratemeyer [active 1832 – active 1984]
564	261	pers	Adams, Harriet Stratemeyer [active 1883 – active 1966]
565	262	pers	Adams, J. Otis (John Ottis), 1851-1927
566	262	pers	Adams, J. Ottis (John Ottis), 1851-1927
567	263	pers	Adams, John G. (John Greenleaf), 1810-1887
568	263	pers	Adams, John Greenleaf, 1810-1887
569	264	pers	Adams, John Quincy, 1767-1848 [corporate body]
570	264	pers	Adams, John Quincy, 1767-1848
571	264	pers	Adams, John Quincy, 1787-1848
572	264	pers	Adams, John Quincy, 1797-1848
